dbn,schoolname,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
08X366,Urban Assembly Academy of Civic Engagement,70,94,32,239,33,105,342,35,326,8.1,7.5,7.5,7.8,6.4,5.8,6.5,7.1,6.3,6.3,6.4,7.3,6.9,6.5,6.8,7.4
08X367,"Archimedes Academy for Math, Science and Technolog",75,97,49,292,32,184,390,33,376,8,7.2,7.4,7.5,5.9,4.7,5.5,5.9,5.7,5.7,6.4,7,6.5,5.9,6.4,6.8
08X371,Urban Institute of Mathematics,98,92,68,330,24,219,338,26,320,8.2,7.6,7.7,8,7.2,7.6,7.6,8.3,6.8,6.7,7.3,8,7.4,7.3,7.5,8.1
08X375,The Bronx Mathematics Preparatory School,88,91,40,357,31,153,407,34,382,8.2,7.9,7.8,8,6.3,5.5,6.2,7.2,5.6,6,6.2,7.1,6.7,6.5,6.7,7.4
08X376,"Antonia Pantoja Preparatory Academy, A College Boa",70,92,20,252,24,68,362,26,335,7.6,6.7,6.7,6.8,5.1,3.5,4.1,5.1,5.6,5.9,6.2,7,6.1,5.4,5.7,6.3
08X377,Bronx Community High School,71,94,41,110,16,63,154,17,155,8.7,8.5,8.1,8.5,7.7,7.4,8,8.7,7.7,7.2,7.7,8.2,8,7.7,7.9,8.5
08X405,Herbert H. Lehman High School,58,73,11,2099,174,395,3622,239,3455,6.6,6.7,6.8,6.9,6.3,5.9,6.7,7,5.5,5.6,6.2,6.8,6.1,6.1,6.6,6.9
08X408,Herbert H. Lehman Yabc,55,96,47,96,24,97,174,25,206,8.6,7.9,8,8.2,9.2,8.8,9.3,9.5,8.1,7,8.1,8.2,8.6,7.9,8.4,8.6
08X424,The Hunts Point School,91,95,40,356,40,140,391,42,349,8.5,8,8,8.4,7,7.2,7.5,7.7,6.3,5.8,7,7.3,7.3,7,7.5,7.8
08X432,BRONX BRIDGES HIGH SCHOOL,99,100,81,76,5,61,77,5,75,8.8,8.3,7.6,8.5,9.3,7.8,9.6,9.8,6.9,6.3,6.6,7.1,8.3,7.5,7.9,8.5
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,86,71,79,177,10,155,207,14,196,7.8,7.4,7.3,7.3,6.4,5.6,6.5,6.7,6.2,6.5,6.7,7.5,6.8,6.5,6.8,7.2
08X452,Bronx Guild,66,67,8,200,18,23,302,27,290,8.3,7.7,7.4,8.1,7.7,6.3,7.2,7.2,7.1,6.2,6.8,7.5,7.6,6.5,7.1,7.5
08X467,MOTT HALL COMMUNITY SCHOOL,98,92,63,160,11,102,163,12,162,8.8,8.4,8.3,8.5,7.4,7.3,7.9,8.4,6.3,6.6,6.7,7.4,7.5,7.5,7.6,8.1
08X507,Stevenson Yabc,56,81,15,93,22,23,166,27,157,8.8,7.9,7.9,8.3,8.5,7.5,8.4,8.5,8.3,6.6,7.7,8.1,8.5,7.3,8,8.3
08X519,Felisa Rincon de Gautier Institute for Law and Pub,54,59,20,184,16,64,342,27,326,8.1,8,7.5,7.9,7.3,6.8,6.5,7.5,5.7,5.7,5.8,6.7,7,6.8,6.6,7.4
08X530,Banana Kelly High School,85,100,83,372,30,360,438,29,433,9,8.5,8.4,8.5,7.6,6.5,7.6,7.8,7,6.5,7,7.5,7.9,7.2,7.7,7.9
08X540,School for Community Research and Learning,61,71,51,170,17,136,277,24,268,7.3,6.8,6.8,7.1,5.6,4.8,4.5,5.5,6.4,5.5,6,6.6,6.4,5.7,5.8,6.4
08X560,High School X560 - Bronx Academy High School,63,90,15,142,19,34,227,21,230,9.3,8.7,8.5,8.9,8.5,8.6,9.1,9.4,8.2,7.3,8.2,8.6,8.7,8.2,8.6,9
08X650,Jane Addams High School for Academic Careers,61,54,23,596,40,212,981,74,918,6.9,6.7,6.7,6.7,5.3,4.2,5.1,5.6,5.8,6,6.1,6.8,6,5.6,6,6.4
09X002,P.S. 002 Morrisania,67,73,8,60,0,12,82,8.3,7.6,7.5,7.7,5.8,5.1,5.7,5.9,7.1,6.4,6.6,6.8
09X004,P.S./M.S. 004 Crotona Park West,96,91,100,147,41,360,153,45,326,8.6,8.3,8.1,8.3,6.3,5.9,6.3,7.4,5.9,5.8,6.7,7,7,6.6,7,7.6
09X011,P.S. 011 Highbridge,64,79,35,461,0,55,584,8.5,8.1,7.9,8.2,5.8,4.7,5.8,6.3,7.1,6.4,6.9,7.2
09X022,J.H.S. 022 Jordan L. Mott,66,96,44,407,46,251,620,48,571,8.1,7.7,7.6,7.6,6.4,6.7,7,7.7,6.6,5.9,6.8,7.6,7,6.8,7.1,7.6
09X028,P.S. 028 Mount Hope,54,59,31,344,0,57,581,9.2,8.7,8.8,8.7,7.3,6.8,6.9,7.6,8.3,7.8,7.9,8.2
09X035,P.S. 035 Franz Siegel,76,83,35,443,0,46,536,9,8.2,8,8.4,7.5,6.5,6.5,7.5,8.2,7.3,7.3,8
09X042,P.S. 042 Claremont,94,85,49,360,0,52,422,8.9,8.7,8.5,8.8,6.2,6,6.5,7.2,7.6,7.3,7.5,8
09X053,P.S. 053 Basheer Quisim,86,27,83,272,0,96,1022,8,7.4,7,7.8,6.5,6.7,6.9,7.5,7.2,7,6.9,7.7
09X055,P.S. 055 Benjamin Franklin,82,34,46,179,0,56,523,7.8,7.2,7.1,7.7,6.6,6.9,6.7,7.4,7.2,7.1,6.9,7.6
09X058,P.S. 058,71,51,32,203,0,45,398,7.8,7.5,7.4,7.7,6.5,6,6.2,5.9,7.1,6.7,6.8,6.8
09X063,P.S. 063 Author's Academy,98,72,50,317,0,51,440,8.6,8.3,8,8.6,6.7,6.9,7.1,7.6,7.7,7.6,7.6,8.1
09X064,P.S. 064 Pura Belpre,73,56,55,371,0,75,668,8.5,7.9,7.6,8,6.8,6.7,6.6,7.1,7.6,7.3,7.1,7.6
09X070,P.S. 070 Max Schoenfeld,75,54,73,577,0,97,1071,8.7,8,7.8,8.4,6.9,6.6,6.7,7.2,7.8,7.3,7.3,7.8
09X073,P.S. 073 Bronx,100,76,70,545,0,69,714,8.6,8.1,8,8.3,7.6,7.7,7.8,7.9,8.1,7.9,7.9,8.1
09X088,P.S. X088 - S. Silverstein Little Sparrow School,88,55,23,113,0,26,207,9,8.1,7.8,8.3,7.4,6.6,7,7.4,8.2,7.4,7.4,7.8
09X090,P.S. 090 George Meany,67,79,8,128,0,12,163,8.8,8.1,8,8.3,8.1,7.7,7.9,8.2,8.5,7.9,7.9,8.2
09X109,P.S. 109 Sedgwick,94,91,50,576,0,53,631,9.2,8.9,8.7,9,7.2,7.3,7.2,7.9,8.2,8.1,7.9,8.5
09X110,P.S. 110 Theodore Schoenfeld,85,63,34,214,0,40,338,8.6,8.3,8.3,8.5,7.2,7.6,7.5,8.1,7.9,7.9,7.9,8.3
09X114,P.S. X114 - Luis Llorens Torres Schools,80,57,53,399,0,66,699,8.9,8.3,8.1,8.5,6.7,6.2,7,7.3,7.8,7.2,7.5,7.9
09X117,I.S. 117 Joseph H. Wade,92,97,35,697,64,248,757,66,705,8,7.9,7.5,8,7,7.1,7.4,7.6,6.1,5.7,6.5,7.4,7,6.9,7.1,7.7
09X126,P.S. 126 Dr Marjorie H Dunbar,82,38,30,89,23,169,108,60,565,8.6,8.2,8.1,8.5,6,5.5,6,6.8,6.3,6.3,7.3,8,6.9,6.7,7.1,7.8
09X128,Mott Hall III,96,75,63,315,18,201,329,24,318,8.7,7.9,8,8.4,7.4,5.9,6,7.2,7,6.8,7.4,8.4,7.7,6.9,7.1,8
09X132,P.S. 132 Garret A. Morgan,68,69,36,307,0,53,445,8.4,7.8,7.7,8,6.6,5.8,6.3,7.1,7.5,6.8,7,7.6
09X145,J.H.S. 145 Arturo Toscanini,97,87,71,367,34,306,380,39,433,8.7,8.1,8,8.3,8,7.5,7.5,8.2,7.6,6.7,7.7,8.1,8.1,7.4,7.7,8.2
09X163,P.S. 163 Arthur A. Schomburg,60,45,32,223,0,53,498,8.6,8.2,7.7,8.3,6.6,5.5,5.6,6.1,7.6,6.8,6.6,7.2
09X166,J.H.S. 166 Roberto Clemente,88,95,36,147,18,58,167,19,162,9.2,8.6,8.3,8.8,7.2,7,7.1,7.6,7,5.9,6.7,7.6,7.8,7.2,7.4,8
09X170,P.S. 170,88,95,21,208,0,24,219,9.8,9.4,9.5,9.8,9.3,8.8,8.9,9.6,9.6,9.1,9.2,9.7
09X199,P.S. 199X - The Shakespeare School,70,47,39,275,0,56,587,8.3,7.7,7.5,8,6.8,6.4,7.2,8,7.5,7.1,7.4,8
09X204,P.S. 204 Morris Heights,97,98,28,325,0,29,332,9.3,8.7,8.7,9,9.3,8.9,8.8,9,9.3,8.8,8.7,9
09X215,Kappa,99,71,90,344,22,355,346,31,396,8.4,7.7,7.5,8.2,8.1,7.9,8,8.5,6.9,6.6,6.9,8.1,7.8,7.4,7.5,8.2
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,99,80,69,269,53,444,271,66,645,8.9,8,7.9,8.2,6.9,6.7,6.8,7.7,7.4,6.6,7.3,8.2,7.7,7.1,7.3,8
09X219,I.S. 219 New Venture School,92,78,44,395,29,176,428,37,397,7.4,7.2,7,7.4,6.2,6.5,6.9,7.5,5.2,5.2,5.8,7,6.3,6.3,6.6,7.3
09X227,Bronx Expeditionary Learning High School,71,91,40,238,30,130,334,33,326,8.3,8,7.8,8.3,7.5,7.5,7.7,8.1,6.5,6.3,7.1,7.6,7.4,7.3,7.5,8
09X229,I.S. 229 Roland Patterson,96,68,69,220,26,140,230,38,204,8.4,7.7,7.8,7.8,5.9,5.8,6.6,6.7,5.9,6,6.7,7.2,6.7,6.5,7,7.2
09X230,P.S. 230 Dr Roland N. Patterson,86,51,36,189,0,42,368,8.5,7.9,7.9,7.9,6.2,6.1,6.5,7.1,7.4,7,7.2,7.5
09X231,Eagle Academy for Young Men,89,68,51,383,21,216,431,31,420,8.5,7.9,7.9,7.9,6.7,7.1,7.4,7.3,5.8,5.8,6.5,7.2,7,6.9,7.3,7.5
09X232,I.S. 232,89,84,96,371,27,373,415,32,389,8.1,7.9,7.5,8,6.8,6.8,7.2,7.5,6.2,6,6.5,7.6,7,6.9,7.1,7.7
09X236,P.S. 236 Langston Hughes,90,67,35,236,0,39,353,9.4,8.9,8.7,9.1,7.5,7.2,7.1,7.3,8.4,8,7.9,8.2
09X239,Urban Assembly Academy for History and Citizenship,28,100,21,57,17,43,206,17,202,8.6,8.1,8,8.2,6.8,7,7.5,7.4,6.4,6.6,6.9,7.9,7.2,7.2,7.4,7.8
09X241,Urban Assembly School for Applied Math and Science,91,91,27,527,43,143,581,47,528,8.6,7.7,7.6,8.2,7.5,6.1,6.6,7.5,6.8,6.2,6.9,7.6,7.6,6.7,7,7.8
09X250,Eximius College Preparatory Academy: A College Boa,88,100,41,295,23,129,334,23,315,8.1,7.3,7.2,7.2,6.7,5.5,6,6.8,7.3,6.2,7.1,7.7,7.4,6.4,6.7,7.3
09X252,Mott Hall Bronx High School,81,95,20,284,20,67,349,21,332,9,8.4,8.2,8.6,6.6,5.7,6.2,6.7,6.6,5.9,6.3,7.2,7.4,6.7,6.9,7.5
09X260,Bronx Center for Science and Mathematics,96,78,60,402,21,244,417,27,407,8.7,7.9,7.9,8.4,7.7,6.6,7,8,7.1,6.2,6.9,8,7.8,6.9,7.3,8.1
09X263,Validus Preparatory Academy: An Expeditionary Lear,54,57,56,195,13,193,358,23,344,8.4,7.7,7.8,7.9,7.9,7.3,8.4,8.6,7.6,6.9,7.4,7.9,8,7.3,7.9,8.2
09X276,Leadership Institute,82,82,14,200,18,32,245,22,232,8.7,8.2,7.9,8.2,6.7,5,6,6.4,7.1,6.3,7.2,7.8,7.5,6.5,7,7.5
09X297,Morris Academy for Collaborative Studies,80,84,39,321,31,154,399,37,390,8.4,7.9,7.5,8,6.8,7.1,7.2,7.6,6.4,5.7,6.4,7.3,7.2,6.9,7,7.6
09X303,I.S. X303 Leadership & Community Service,90,100,68,300,24,216,335,24,318,8.5,8.2,8,8.4,8.6,8.3,8.5,8.8,7.2,6.8,7.2,7.6,8.1,7.8,7.9,8.3
09X313,I.S. 313 School of Leadership Development,90,73,22,393,24,91,437,33,411,8.3,7.5,7.2,8,5.9,6.3,6.4,6.8,6.3,5.7,6.9,7.7,6.8,6.5,6.8,7.5
09X323,Bronx Writing Academy,82,95,61,403,37,277,492,39,455,8.4,7.8,7.4,8.2,5.6,5.6,5.9,6.7,6,5.9,6.5,7.5,6.7,6.4,6.6,7.5
09X324,Bronx Early College Academy for Teaching & Learnin,88,88,60,323,22,207,369,25,343,8.5,8.2,8,8.1,6.6,5.1,6.1,6.7,6.7,6.7,7.1,8.2,7.3,6.6,7.1,7.7
09X325,Urban Science Academy,91,93,21,318,41,81,351,44,392,8.5,8.1,7.7,8.3,5.8,5.5,5.9,6.4,6.4,6.1,6.7,7.5,6.9,6.6,6.8,7.4
09X327,Comprehensive Model School Project M.S. 327,91,96,85,329,23,286,360,24,337,8.2,7.7,7.1,8,7.5,7.4,7.8,8.2,6.2,5.8,6.1,7.5,7.3,7,7,7.9
09X328,New Millennium Business Academy Middle School,85,80,51,175,16,100,207,20,197,8,7.8,7.6,8.1,5.2,4.6,5.5,6.8,5.2,5.9,6.1,7.3,6.1,6.1,6.4,7.4
09X329,DreamYard Preparatory School,87,80,40,276,20,120,318,25,298,8.3,7.9,7.7,8.2,6.1,5.4,6.6,6.7,6,5.8,6.3,6.9,6.8,6.4,6.9,7.3
09X339,I.S. 339,76,90,18,598,66,129,791,73,727,8.1,7.7,7.3,8,5.6,5.1,5.7,6.6,6,5.7,6.4,7.3,6.6,6.2,6.5,7.3
09X365,Academy for Language and Technology,79,97,50,277,29,169,351,30,335,9.2,8.6,8.1,8.6,6.9,5.4,6.1,7,7.5,6.5,7.2,7.7,7.9,6.8,7.1,7.8
09X403,Bronx International High School,75,56,15,289,15,52,384,27,337,8.4,8.3,7.8,8.3,6.8,6.4,7.5,8.2,7,6.8,7.2,7.6,7.4,7.2,7.5,8.1
09X404,School for Excellence,89,100,90,343,30,346,385,30,383,8.9,7.6,7.8,7.8,6.7,7,7,7.4,6.9,6.1,6.3,7.3,7.5,6.9,7,7.5
09X412,Bronx High School of Business,91,93,18,374,27,70,410,29,399,7.8,7.6,7.2,7.4,5.9,5.7,6,6.4,6.1,5.7,6.2,7.1,6.6,6.3,6.4,7
09X413,Bronx High School for Medical Science,96,100,30,405,26,118,424,26,396,8.8,8,7.7,8.3,8.1,8.1,8.7,8.7,6,5.6,5.8,6.9,7.6,7.2,7.4,8
09X414,Jonathan Levin High School for Media and Communica,70,100,16,281,32,59,401,32,380,8.7,8.2,7.9,8.3,6.7,6.6,6.6,7.3,6.3,5.7,6.1,6.9,7.2,6.9,6.9,7.5
09X443,THE FAMILY SCHOOL,90,87,27,281,0,30,323,9,8.5,8.3,8.7,6.8,5.9,6,6.9,7.9,7.2,7.2,7.8
09X449,GRANT AVENUE ELEMENTARY SCHOOL,100,90,18,174,0,18,193,9.2,8.8,8.8,9.1,8.9,8.7,9.1,9,9,8.8,8.9,9.1
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,97,100,84,240,22,202,247,22,240,8.9,8.5,8.1,8.7,7.8,7.8,8.2,8.8,6.6,6.3,7.2,7.9,7.7,7.5,7.8,8.5
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,97,100,32,373,0,33,366,9,8.3,8.2,8.6,8.3,7.1,7.6,8.2,8.7,7.7,7.9,8.4
09X505,"Bronx School for Law, Government and Justice",84,91,61,588,42,399,702,46,659,8.3,7.7,7.4,8,7.6,6.9,7.2,7.5,6.5,6.2,6.6,7.5,7.5,6.9,7.1,7.7
09X517,Frederick Douglass Academy III Secondary School,95,78,61,564,32,336,595,41,555,8.4,8,8.1,8.2,6.1,5.5,6.2,6.6,6.5,6.2,6.5,7.6,7,6.6,6.9,7.5
09X525,Bronx Leadership Academy High School,81,76,10,507,31,59,625,41,606,8.3,7.8,7.6,7.9,7,6.6,7.2,7.6,6.1,5.8,6.3,7.3,7.1,6.7,7,7.6
09X543,High School for Violin and Dance,87,88,30,192,15,62,220,17,208,8.6,7.9,7.9,8.1,6.8,6.1,7,7.3,6.6,6,6.8,7.4,7.3,6.7,7.2,7.6
10X003,P.S. 3 Raul Julia Micro Society,100,55,74,180,24,234,180,44,316,8.7,7.8,7.7,8,6.4,4.6,4.4,5.4,6.8,6.3,7,7.7,7.3,6.2,6.4,7
10X007,P.S. 007 Kingsbridge,100,93,46,439,0,45,470,9.2,8.3,8.1,8.6,8.6,7.7,7.9,8.5,8.9,8,8,8.6
10X008,P.S. 008 Issac Varian,94,37,87,365,0,93,995,8.6,7.6,7.6,7.8,6.7,6.7,6.7,7.3,7.7,7.2,7.1,7.5
10X009,P.S. 9 Ryer Avenue Elementary School,100,76,50,437,0,49,574,8.9,8.3,8.1,8.6,7.6,6.6,7.2,7.6,8.2,7.4,7.7,8.1
10X015,P.S. X015 Institute for Environmental Learning,99,95,70,195,36,337,197,38,480,9.1,8.3,8.1,8.5,7.8,7.5,7.5,8.4,7.8,6.6,8,8.5,8.2,7.5,7.9,8.5
10X020,P.S. 20 P.O.George J. Werdan III,92,75,43,343,57,391,372,76,899,8.3,7.5,7.5,8,6.9,7,6.9,7.9,6.2,6.2,7,7.7,7.1,6.9,7.1,7.9
10X023,P.S. 023 The New Children's School,100,59,56,237,0,56,405,9.3,8.5,8.3,8.8,7.1,6.5,7.2,7.8,8.2,7.5,7.7,8.3
10X024,P.S. 024 Spuyten Duyvil,80,48,48,349,0,60,720,8.5,7.7,7.9,8.1,7.3,5.5,6.4,7,7.9,6.6,7.1,7.5
10X032,P.S. 032 Belmont,100,66,61,416,0,61,634,9,8.1,8,8.3,7.9,7.7,8.4,8.8,8.4,7.9,8.2,8.6
10X033,P.S. 033 Timothy Dwight,37,100,26,910,0,71,847,9.5,8.7,9,8.9,7.2,6.4,7.1,7.6,8.4,7.6,8,8.3
10X037,P.S. X037 - Multiple Intelligence School,94,98,59,170,43,292,181,44,497,8.8,8.2,8.2,8.6,6.3,6.1,6.2,6.9,5.7,5.4,6.2,6.8,6.9,6.6,6.9,7.4
10X045,Thomas C. Giordano Middle School 45,95,51,27,945,44,256,999,86,934,8,7.4,7.2,7.9,7.1,5.9,6.9,7.3,6.2,5.8,6.3,7.5,7.1,6.3,6.8,7.6
10X046,P.S. 046 Edgar Allan Poe,94,67,91,650,0,97,975,8.6,8.1,7.8,8.4,6,5.9,6.2,6.8,7.3,7,7,7.6
10X051,P.S. 051 Bronx New School,76,82,16,188,0,21,230,9.3,8.6,8.6,9,7.9,6.6,7.4,8.2,8.6,7.6,8,8.6
10X054,P.S. / I.S. 54,68,52,25,197,0,37,376,8.6,7.9,7.9,8.1,5.8,4.8,5.2,6.3,7.2,6.3,6.5,7.2
10X056,P.S. 056 Norwood Heights,90,89,38,458,0,42,515,8.9,8.3,8.1,8.5,8.1,8.5,9.3,9.6,8.5,8.4,8.7,9
10X059,P.S. 059 The Community School of Technology,81,100,44,489,0,54,479,8.9,7.3,7.9,7.6,7.5,6.8,7.2,7.8,8.2,7.1,7.5,7.7
10X079,P.S. 079 Creston,33,60,5,77,0,15,129,8.7,8.2,8,8.1,6.9,7.8,8.3,8.7,7.8,8,8.1,8.4
10X080,J.H.S. 080 The Mosholu Parkway,90,82,25,579,40,151,640,49,595,7.3,7.2,6.8,7.3,5.8,5.7,6,6.8,5.6,5.9,6.2,7.2,6.2,6.3,6.3,7.1
10X081,P.S. 081 Robert J. Christen,100,92,43,521,0,43,568,8.6,7.9,7.6,8.1,8.1,7.7,8.1,8.4,8.4,7.8,7.9,8.3
10X085,P.S. 085 Great Expectations,65,37,67,319,0,103,867,8.5,8.1,8,8.2,5.8,6,6.4,7.1,7.1,7,7.2,7.7
10X086,P.S. 086 Kingsbridge Heights,98,99,38,237,120,524,241,121,1374,9,8.5,8.1,8.8,9.4,9,9.4,9.6,8.6,8,9.2,9.4,9,8.5,8.9,9.3
10X091,P.S. 091 Bronx,41,29,25,165,0,61,578,8.7,8.1,7.8,8.4,6.3,4.7,5.4,6.7,7.5,6.4,6.6,7.5
10X094,P.S. 094 Kings College School,96,36,67,297,0,70,833,8.6,7.8,7.7,7.9,7,6.1,6.6,7.2,7.8,7,7.1,7.6
10X095,P.S. 095 Sheila Mencher,93,52,82,426,49,731,456,95,894,8.7,8.2,8.1,8.3,5,4.5,4.4,5.9,5.8,5.7,6.3,7.2,6.5,6.1,6.3,7.2
10X118,J.H.S. 118 William W. Niles,93,91,60,1053,72,640,1129,79,1064,8.6,7.7,7.7,8.3,6.8,6,6.5,6.9,6.6,5.9,6.7,7.7,7.3,6.5,7,7.6
10X141,Riverdale / Kingsbridge Academy (Middle School / H,89,85,27,1165,76,307,1311,89,1155,7.1,6.8,6.9,6.9,5.9,5.6,5.7,6.3,5.9,5.5,6.2,7,6.3,6,6.3,6.7
10X159,P.S. 159 Luis Munoz Marin Biling,100,83,18,146,0,18,176,9.3,8.5,8.4,8.7,7.7,6.8,7.3,7.6,8.5,7.7,7.9,8.2
10X205,P.S. 205 Fiorello Laguardia,100,100,80,816,0,80,795,9,8.3,8.1,8.6,7.8,7.5,7.8,8.2,8.4,7.9,8,8.4
10X206,I.S. 206 Ann Mersereau,90,81,100,286,26,361,318,32,361,9,8.4,8.1,8.5,7.1,7.3,7,8.1,6.1,6,6.5,7.7,7.4,7.2,7.2,8.1
10X207,P.S. 207,97,82,29,300,0,30,367,9,8.4,8.1,8.5,7.9,7.3,7.6,8.2,8.5,7.8,7.9,8.3
10X209,P.S. 209,96,97,22,220,0,23,227,9.5,8.9,8.7,9.3,9.7,9,9.5,9.5,9.6,9,9.1,9.4
10X213,Bronx Engineering and Technology Academy,81,87,39,332,27,157,409,31,404,8.4,7.6,7.5,7.7,6.3,6.3,6.6,7,6.5,5.9,6.8,7.5,7.1,6.6,7,7.4
10X225,Theatre Arts Production Company School,88,89,21,450,32,98,513,36,460,8.6,7.8,7.6,8.2,6.1,5,5.7,6.7,7.7,6.9,7.5,8,7.5,6.6,6.9,7.6
10X226,P.S. 226,65,61,22,211,0,34,344,8.7,7.9,7.7,7.9,7.2,6.8,7.1,7.7,8,7.4,7.4,7.8
10X228,Jonas Bronck Academy,95,73,51,223,16,117,235,22,229,9.5,8.9,8.6,8.9,8.3,6.5,7.4,7.8,7.7,7.1,7.7,8.3,8.5,7.5,7.9,8.3
10X237,"The Marie Curie School for Medicine, Nursing, and",62,59,47,287,17,212,465,29,454,8.1,7.6,7.4,7.8,6,5.4,6.1,6.4,5.9,5.9,5.9,6.9,6.7,6.3,6.5,7
10X243,West Bronx Academy for the Future,83,100,41,490,46,223,589,46,542,8,7.4,7.4,7.7,7,6.3,7.4,7.7,6.6,6,7,7.6,7.2,6.6,7.3,7.7
10X244,The New School for Leadership and Journalism,69,36,32,450,20,197,656,56,617,9,8.4,8.4,8.9,7.9,8.1,8.7,8.9,7.2,6.4,7.5,8,8,7.6,8.2,8.6
10X246,P.S. 246 Poe Center,74,53,46,288,0,62,539,9.1,8.4,8.3,8.7,7.4,6.9,7,7.7,8.2,7.7,7.7,8.2
10X254,I.S. 254,81,24,27,349,8,110,432,33,402,8.4,7.7,7.4,7.9,5.6,3,4.1,5.5,6,5.6,6.2,7,6.7,5.4,5.9,6.8
10X268,Kingsbridge International High School,84,88,36,389,21,155,464,24,431,8.2,7.9,7.5,7.9,6.9,6,7.6,7.9,6.9,6,6.6,7.4,7.3,6.6,7.2,7.7
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",96,100,67,320,76,504,332,75,750,9.2,8.7,8.7,8.8,6.5,6.1,6.2,6.7,6.8,6.4,7,7.7,7.5,7,7.3,7.7
10X280,P.S./M.S. 280 Mosholu Parkway,96,75,77,284,45,489,296,60,636,8.4,7.8,7.6,8.3,7.3,7.3,7.5,8.4,6.4,6.4,6.9,7.8,7.4,7.2,7.3,8.2
10X284,Bronx School of Law and Finance,85,79,32,320,23,120,377,29,376,8,7.4,7.3,7.6,6.8,6.7,6.7,7,6.1,6,6.4,7.1,7,6.7,6.8,7.2
10X291,P.S. 291,100,89,42,406,0,42,455,9.2,9.3,9.4,9.5,8.7,8.1,8.7,9.3,9,8.7,9,9.4
10X306,P.S. 306,55,55,33,319,0,60,585,8.8,8.4,8.1,8.4,6.8,5.5,5.9,6.6,7.8,6.9,7,7.5
10X307,P.S. X307 - Eames Place,100,100,22,283,0,22,260,9.5,9,8.9,9.2,9,7.4,7.6,9,9.3,8.2,8.2,9.1
10X308,Bronx Dance Academy School,94,100,58,263,21,159,280,20,273,8.7,7.7,7.4,8,7.1,6.1,6.7,7.3,6.8,6.3,6.9,7.8,7.5,6.7,7,7.7
10X310,P.S. 310 Marble Hill,93,91,55,536,0,59,588,8.8,8.1,8,8.2,6.7,6.1,6.2,7.2,7.7,7.1,7.1,7.7
10X315,P.S. 315 Lab School,95,84,78,74,16,140,78,19,179,9.2,8.8,8.4,8.7,7.1,6.5,6.4,7.4,7.3,7.2,7.5,8.5,7.9,7.5,7.4,8.2
10X319,Providing Urban Learners Success In Education High,87,73,1,145,11,2,166,15,157,9.1,6.8,6.1,7.5,7.7,5.7,6.1,6.9,8.4,7.3,7.9,8.3,8.2,6.6,6.8,7.6
10X331,The Bronx School of Science Inquiry and Investigat,95,97,45,342,31,150,360,32,333,8.8,8.6,8.5,8.5,6.4,6.3,6.4,7.4,6.5,6.5,7.1,7.7,7.2,7.1,7.3,7.9
10X340,P.S. 340,100,98,87,64,41,389,64,42,448,9.2,8.3,8.2,8.7,9.3,8.3,8.5,8.7,8.1,7.7,8.3,8.5,8.9,8.1,8.4,8.6
10X342,International School for Liberal Arts,92,92,65,488,34,316,530,37,483,9,8.3,7.8,8.3,7.1,6.5,6.5,7.2,7.4,6.4,7.1,7.7,7.8,7.1,7.1,7.7
10X344,Ampark Neighborhood,64,47,7,65,0,11,138,8.5,8.1,7.6,8.1,8.8,7,7.7,7.5,8.6,7.6,7.7,7.8
10X360,P.S. 360,98,97,55,58,38,217,59,39,392,8.8,8.1,7.9,8.4,7.6,6.2,6.4,7.5,6.6,5.7,6.2,7.5,7.7,6.7,6.8,7.8
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,97,100,89,153,12,133,158,12,150,8.5,8.4,8,8.6,7.8,8.7,8.1,8.4,7.4,6.5,7.4,8.2,7.9,7.9,7.8,8.4
10X368,In-Tech Academy (M.S. / High School 368),90,91,51,978,72,496,1088,79,971,8.6,7.6,7.6,7.9,7.4,6.2,6.6,7.2,6.5,6.2,6.6,7.5,7.5,6.7,6.9,7.5
10X374,Knowledge and Power Preparatory Academy Internatio,92,100,75,329,31,258,359,31,345,8.8,8.5,8.2,8.8,7.9,6.9,7.9,8.5,7.2,6.6,7.2,8,8,7.3,7.8,8.4
10X382,"Elementary School for Math, Science, and Technolog",88,100,23,274,0,26,267,8.8,8,8.1,8.4,7.7,7.9,8,8.6,8.2,7.9,8.1,8.5
10X386,School for Environmental Citizenship,84,64,27,220,0,32,346,8.9,8.3,8.2,8.6,7,5.7,6.4,6.6,7.9,7,7.3,7.6
10X390,M.S. 390,94,95,69,366,37,323,389,39,467,8.6,8.1,7.9,8.1,6.3,6.1,6.8,7.4,6.5,6.3,6.9,7.6,7.1,6.9,7.2,7.7
10X391,The Angelo Patri Middle School,87,80,53,539,44,298,617,55,560,8.4,8.2,8,8.3,6.7,7.2,7.3,7.8,6.4,6.2,7,7.6,7.2,7.2,7.4,7.9
