dbn,schoolname,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
02M011,P.S. 011 William T. Harris,96,68,51,360,0,53,530,8.9,8.5,8.6,8.8,8.9,8.3,8.7,9.2,8.9,8.4,8.6,9
02M033,P.S. 033 Chelsea Prep,100,94,31,298,0,31,317,9.5,9.1,9.2,9.3,9.1,8.7,8.8,9.1,9.3,8.9,9,9.2
02M040,P.S. 040 Augustus Saint-Gaudens,59,43,22,221,0,37,510,8.8,8.6,8.6,8.6,8.9,8,7.8,8.5,8.9,8.3,8.2,8.6
02M041,P.S. 041 Greenwich Village,98,76,51,480,0,52,635,9.1,8.6,8.5,8.8,9,8,8.8,8.9,9.1,8.3,8.7,8.8
02M042,P.S. 042 Benjamin Altman,67,87,37,530,0,55,606,8.6,7.4,7.6,7.5,8.5,7.1,7.8,8.3,8.5,7.3,7.7,7.9
02M047,47 The American Sign Language and English Secondar,72,76,30,109,16,43,152,21,145,8.9,7.7,7.9,8.1,8.1,6.1,7.7,7.2,7.3,6.3,7,7.5,8.1,6.7,7.5,7.6
02M051,P.S. 051 Elias Howe,85,99,22,278,0,26,280,8.8,8,8,8.2,9.4,8.2,8.9,9,9.1,8.1,8.4,8.6
02M059,P.S. 059 Beekman Hill International,78,66,28,264,0,36,399,9,8.4,8.5,8.6,8.7,6.7,8.1,8.9,8.8,7.6,8.3,8.7
02M077,P.S. 77 Lower Lab School,84,85,16,254,0,19,299,8.6,8,8.2,8.4,8.5,7.6,7.5,8.9,8.6,7.8,7.8,8.7
02M089,P.S. 89,89,67,31,265,0,35,393,8.8,8.2,8.6,8.1,8.5,6.8,8,8.4,8.7,7.5,8.3,8.3
02M104,J.H.S. 104 Simon Baruch,96,100,71,945,66,663,985,66,936,8,6.9,7,7.4,7.1,6.6,6.9,7.6,6.6,6.2,6.7,7.5,7.2,6.6,6.9,7.5
02M111,P.S. 111 Adolph S. Ochs,94,81,33,207,46,158,221,57,473,8.4,7.8,7.8,8,6.1,5,5.7,5.9,6.8,6.7,7.4,7.8,7.1,6.5,7,7.2
02M114,East Side Middle School,98,100,59,429,30,239,436,30,403,9.1,8,8.2,8.9,9.1,8.1,8.7,9.6,8.5,7.4,8.2,8.2,8.9,7.8,8.4,8.9
02M116,P.S. 116 Mary Lindley Murray,70,42,39,272,0,56,650,8.4,7.8,7.9,8,8.7,7.8,8.4,9,8.5,7.8,8.2,8.5
02M124,P.S. 124 Yung Wing,80,90,51,663,0,64,736,8.6,7.6,7.7,7.5,7.7,6.5,6.9,7.5,8.1,7,7.3,7.5
02M126,P.S. 126 Jacob August Riis,95,33,43,332,22,264,349,66,612,8.3,7.1,7.5,7.7,7.4,5.9,5.9,6.8,6.9,6.5,7.4,7.8,7.5,6.5,6.9,7.4
02M130,P.S. 130 Hernando De Soto,98,90,57,712,0,58,793,8.8,8.1,8.2,8.1,9,8.1,8.7,9.1,8.9,8.1,8.5,8.6
02M131,M.S. 131,89,71,43,616,42,275,694,59,643,8,7.3,7.2,7.3,7,5.7,6.4,7,6.8,6,6.7,7.1,7.3,6.3,6.8,7.1
02M150,P.S. 150,55,69,6,100,0,11,145,8.9,8.2,8.3,8.1,9.1,7.8,8.5,9.1,9,8,8.4,8.6
02M151,Yorkville Community School,79,58,11,93,0,14,159,9.1,8.6,8.7,8.9,8.8,8.2,8.3,9.2,9,8.4,8.5,9
02M158,P.S. 158 Bayard Taylor,78,59,40,349,0,51,594,8.2,7.6,7.8,8,7,5.6,6.3,7.8,7.6,6.6,7.1,7.9
02M167,J.H.S. 167 Robert F. Wagner,93,78,62,1126,62,709,1211,79,1148,7.9,7.2,7.2,7.5,7,6.7,6.8,7.2,6.8,6.3,6.8,7.6,7.2,6.7,6.9,7.5
02M183,P.S. 183 Robert L. Stevenson,54,46,26,243,0,48,531,8.8,8.1,8.3,7.9,8,6.1,7.6,7.7,8.4,7.1,7.9,7.8
02M198,P.S. 198 Isador E. Ida Straus,70,88,35,425,0,50,481,8.4,7.6,7.7,7.9,6.2,4.7,5.6,6.4,7.3,6.1,6.6,7.2
02M212,P.S. 212 Midtown West,91,93,20,274,0,22,294,9.1,8.7,8.8,8.6,8.8,8.4,8.8,9.2,9,8.5,8.8,8.9
02M217,P.S./I.S. 217 Roosevelt Island,95,78,49,84,25,155,88,32,314,8.4,7.6,7.6,7.9,7.3,6,6.7,7.2,6.3,5.8,6.6,7.2,7.3,6.5,7,7.5
02M225,Ella Baker School,51,82,36,35,18,101,69,22,278,8.9,8.4,8.3,8.5,8.3,7.7,7.7,7.7,7.4,7.3,7.6,8.2,8.2,7.8,7.9,8.1
02M234,P.S. 234 Independence School,89,61,50,415,0,56,675,8.9,8.4,8.5,8.4,8.8,7.1,8.3,8.5,8.9,7.8,8.4,8.4
